x	y	angle	r
-1.75	1.0499999999999998	149.03624346792648	2.040833163195855
-1.05	1.0499999999999998	135.0	1.4849242404917498
-1.05	1.75	120.96375653207352	2.040833163195855
1.0499999999999998	1.75	59.03624346792648	2.040833163195855
1.0499999999999998	1.0499999999999998	45.0	1.4849242404917495
1.75	1.0499999999999998	30.963756532073518	2.040833163195855
1.75	-1.05	-30.96375653207352	2.040833163195855
1.0499999999999998	-1.05	-45.00000000000001	1.4849242404917498
1.0499999999999998	-1.75	-59.03624346792648	2.040833163195855
-1.05	-1.75	-120.96375653207352	2.040833163195855
-1.05	-1.05	-135.0	1.4849242404917498
-1.75	-1.05	-149.03624346792648	2.040833163195855
-1.75	1.0499999999999998	149.03624346792648	2.040833163195855
