mjd	boresight_ra	boresight_decl	rotation	band	exptime	seeing	sky	depth
61189.95081479709	124.71208155559516	10.698256358377607	156.33316463856295	r	15.0	1.3678856086730267	18.55988774442279	22.129178115829262
61189.95105554924	123.98132974040062	13.726704946869138	156.12615557610653	r	15.0	1.4334848953731039	18.503587341805446	22.03397479037157
61189.95129588745	121.00821929891582	14.93515134907132	157.92466733219985	r	15.0	1.4987917834316582	18.36125134631209	21.89842935866576
61189.951531704806	123.23637738233968	16.76472072718458	155.64323928866946	r	15.0	1.5035110275139163	18.376802824821276	21.90142183966835
61189.95176747127	125.50242247099638	18.565818277891175	153.30664339401017	r	15.0	1.5102747538048955	18.3851097499697	21.898835561383873
61189.95200316544	127.80849244000585	20.333370448685415	150.92277767516086	r	15.0	1.519138309768632	18.480336880814193	21.936983581320934
61189.95224434913	127.0890693136637	23.398287864712874	150.66914943629257	r	15.0	1.605995954988406	18.33203764537147	21.77984485952599
61189.95248417238	130.1576528189896	22.062963715622004	148.57093801341261	r	15.0	1.5312206303546938	18.514103195820315	21.941737740600505
61189.952725405325	130.82173547803285	18.9960071595924	149.02647931521292	r	15.0	1.4548626293364084	18.595037744315434	22.056537302076276
61189.95296128598	128.5022154172286	17.27711708719938	151.66813512546915	r	15.0	1.44846449785573	18.619049030707078	22.074781131593173
61189.95319724322	126.22260694855729	15.519325198469593	154.25604357829582	r	15.0	1.444126105628916	18.64109252621052	22.089985523161474
61189.953437357144	129.19778044278468	14.253261860576876	152.38644024816958	r	15.0	1.3891059308820213	18.779569007738374	22.21415316629088
61189.95367363711	126.93580915734783	12.493553988836094	155.0715770675108	r	15.0	1.386253342624162	18.74034306781481	22.19790401216828
61189.953909956064	124.71208155559516	10.698256358377607	157.69060760442588	r	15.0	1.3851884227299254	18.760105505670843	22.20868498771238
61189.95415063711	123.98132974040062	13.726704946869138	156.97668234474034	r	15.0	1.4452715980182855	18.71100869012561	22.12310862784024
61189.95439105617	121.00821929891582	14.93515134907132	158.72314414092747	r	15.0	1.5134388032214954	18.588501047530915	21.99494559291968
61189.954626822015	123.23637738233968	16.76472072718458	156.4839990849502	r	15.0	1.5172902375519233	18.604392123840253	21.998953654612787
61189.954862544546	125.50242247099638	18.565818277891175	154.18591574662065	r	15.0	1.5231862905984677	18.613835212495232	21.997790473831454
61189.955098202816	127.80849244000585	20.333370448685415	151.83660266758088	r	15.0	1.5311775377611458	18.685698603762265	22.025203682760203
61189.95533932551	127.0890693136637	23.398287864712874	151.56917963255037	r	15.0	1.6203009292760981	18.545798517574006	21.870527218385508
61189.95557925559	130.1576528189896	22.062963715622004	149.51400609702986	r	15.0	1.5424376097687589	18.695139195208778	22.01882186397824
61189.95582042838	130.82173547803285	18.9960071595924	149.98589090109584	r	15.0	1.4673929050528123	18.74933644783244	22.119601607461345
61189.95605627186	128.5022154172286	17.27711708719938	152.59045375991582	r	15.0	1.4619022203386276	18.755775549107472	22.12826715772233
61189.95629218263	126.22260694855729	15.519325198469593	155.13655753202198	r	15.0	1.4537418284322798	18.76301198354193	22.138786739434273
61189.956532394564	129.19778044278468	14.253261860576876	153.32122535674625	r	15.0	1.3965695984284707	18.878676621128054	22.253734715543136
61189.95676861676	126.93580915734783	12.493553988836094	155.95935092831826	r	15.0	1.3945569086910314	18.82891915306499	22.231501214186864
61189.95700486869	124.71208155559516	10.698256358377607	158.52657788097153	r	15.0	1.3943299480957305	18.834093036162752	22.234265351353518
61189.957245478035	123.98132974040062	13.726704946869138	157.80610782395138	r	15.0	1.4559902278526864	18.774547844737924	22.142164258604492
61189.957485973624	121.00821929891582	14.93515134907132	159.5022102286971	r	15.0	1.5271092842989857	18.64044670180184	22.005654709342046
61189.957721686944	123.23637738233968	16.76472072718458	157.30592925980224	r	15.0	1.5300484893839992	18.640805000763983	22.00294402644274
61189.957957364015	125.50242247099638	18.565818277891175	155.04714661451362	r	15.0	1.5350332916916944	18.635514724686168	21.995459734958875
61189.95819298438	127.80849244000585	20.333370448685415	152.73335977811374	r	15.0	1.5421094352349054	18.7092740982661	22.024703757670316
61189.9584340444	127.0890693136637	23.398287864712874	152.45411526912258	r	15.0	1.633550090785916	18.57394983323676	21.8702791091673
61189.958674076435	130.1576528189896	22.062963715622004	150.44113841600563	r	15.0	1.552506907912655	18.719252050069173	22.019448286500353
61189.95891518712	130.82173547803285	18.9960071595924	150.9271942617399	r	15.0	1.4758574545206222	18.773343057383446	22.121608976480097
61189.95915099093	128.5022154172286	17.27711708719938	153.49350351765023	r	15.0	1.4713240541851118	18.778156704532968	22.128507399281332
61189.95938685329	126.22260694855729	15.519325198469593	155.99688187042128	r	15.0	1.4688500592981135	18.784798264566845	22.134239843663803
61189.959627158074	129.19778044278468	14.253261860576876	154.2342651255038	r	15.0	1.4092129747068838	18.89653107697889	22.24942293712122
61189.95986332062	126.93580915734783	12.493553988836094	156.82449536621468	r	15.0	1.3746348880755124	18.847951246177587	22.252962454491016
61189.960099504366	124.71208155559516	10.698256358377607	159.3393640040969	r	15.0	1.3752629379646306	18.852092586593066	22.25432480676082
61189.960340041565	123.98132974040062	13.726704946869138	158.61476430000357	r	15.0	1.4373064693844548	18.79522935019085	22.162010927951165
61189.96058060957	121.00821929891582	14.93515134907132	160.26219695787162	r	15.0	1.510041159371746	18.661012872115833	22.022586174848932
61189.96081626957	123.23637738233968	16.76472072718458	158.10927737611684	r	15.0	1.5119840061679846	18.661570796977706	22.020918424534116
